X,Y,distance,id,wys,height
707418.38048334245,5714174.3383861063,1345.751034000029700,1338,"4,442968664",4.443
707419.29921745264,5714173.9290608158,1346.756827000029700,1339,"4,436385862",4.436
707420.21795156295,5714173.5197355244,1347.762620000029800,1340,"4,42980306",4.430
707421.13668567315,5714173.110410234,1348.768413000029800,1341,"4,42980306",4.430
707422.05541978334,5714172.7010849435,1349.774206000029800,1342,"4,423220258",4.423
707422.97415389365,5714172.291759653,1350.779999000029900,1343,"4,423220258",4.423
707423.89288800384,5714171.8824343625,1351.785792000029900,1344,"4,416637456",4.417
707424.81162211415,5714171.4731090721,1352.791585000030000,1345,"4,416637456",4.417
707425.73035622435,5714171.0637837816,1353.797378000030000,1346,"4,410054654",4.410
707426.64909033466,5714170.6544584911,1354.803171000030000,1347,"4,410054654",4.410
707427.56782444485,5714170.2451331997,1355.808964000030100,1348,"4,410054654",4.410
707428.48655855504,5714169.8358079093,1356.814757000030100,1349,"4,396889049",4.397
707429.40529266535,5714169.4264826188,1357.820550000030200,1350,"4,396889049",4.397
707430.32402677555,5714169.0171573283,1358.826343000030200,1351,"4,390306247",4.390
707431.24276088574,5714168.6078320369,1359.832136000030200,1352,"4,383723445",4.384
707432.16149499605,5714168.1985067474,1360.837929000030300,1353,"4,377140643",4.377
707433.08022910624,5714167.789181456,1361.843722000030300,1354,"4,377140643",4.377
707433.99896321655,5714167.3798561655,1362.849515000030400,1355,"4,370557841",4.371
707434.90013256087,5714166.9374303734,1363.855308000030400,1356,"4,370557841",4.371
707435.75410787226,5714166.40606823,1364.861101000030400,1357,"4,363975039",4.364
707436.60808318376,5714165.8747060886,1365.866894000030500,1358,"4,357392237",4.357
707437.46205849526,5714165.3433439471,1366.872687000030500,1359,"4,357392237",4.357
707438.31603380677,5714164.8119818037,1367.878480000030500,1360,"4,350809435",4.351
707439.17000911827,5714164.2806196623,1368.884273000030600,1361,"4,350809435",4.351
707440.02398442989,5714163.7492575198,1369.890066000030600,1362,"4,350809435",4.351
707440.87795974128,5714163.2178953774,1370.895859000030700,1363,"4,350809435",4.351
707441.73193505278,5714162.686533235,1371.901652000030700,1364,"4,33764383",4.338
707442.58591036429,5714162.1551710926,1372.907445000030700,1365,"4,331061028",4.331
707443.43988567567,5714161.6238089502,1373.913238000030800,1366,"4,324478226",4.324
707444.29386098718,5714161.0924468087,1374.919031000030800,1367,"4,324478226",4.324
707445.14783629868,5714160.5610846663,1375.924824000030900,1368,"4,317895424",4.318
707446.00181161019,5714160.0297225239,1376.930617000030900,1369,"4,317895424",4.318
707446.85578692169,5714159.4983603824,1377.936410000030900,1370,"4,311312622",4.311
707447.70976223319,5714158.966998239,1378.942203000031000,1371,"4,30472982",4.305
707448.51517895539,5714158.3713889616,1379.947996000031000,1372,"4,298147018",4.298
707449.25940320559,5714157.6948168483,1380.953789000031100,1373,"4,284981413",4.285
707450.00362745591,5714157.018244735,1381.959582000031100,1374,"4,278398611",4.278
707450.74785170611,5714156.3416726226,1382.965375000031100,1375,"4,271815809",4.272
707451.49207595643,5714155.6651005093,1383.971168000031200,1376,"4,265233007",4.265
707452.23630020663,5714154.9885283951,1384.976961000031200,1377,"4,265233007",4.265
707452.98052445683,5714154.3119562827,1385.982754000031300,1378,"4,252067403",4.252
707453.72474870714,5714153.6353841703,1386.988547000031300,1379,"4,245484601",4.245
707454.46897295734,5714152.9588120561,1387.994340000031300,1380,"4,238901799",4.239
707455.21319720754,5714152.2822399437,1389.000133000031400,1381,"4,232318996",4.232
707455.95742145786,5714151.6056678304,1390.005926000031400,1382,"4,232318996",4.232
707456.70164570806,5714150.9290957171,1391.011719000031500,1383,"4,225736194",4.226
707457.44586995826,5714150.2525236048,1392.017512000031500,1384,"4,225736194",4.226
707458.19009420858,5714149.5759514906,1393.023305000031500,1385,"4,225736194",4.226
707458.93431845878,5714148.8993793782,1394.029098000031600,1386,"4,219153392",4.219
707459.67854270898,5714148.2228072649,1395.034891000031600,1387,"4,219153392",4.219
707460.42276695929,5714147.5462351516,1396.040684000031700,1388,"4,21257059",4.213
707461.16699120961,5714146.8696630392,1397.046477000031700,1389,"4,21257059",4.213
707461.9112154597,5714146.1930909259,1398.052270000031700,1390,"4,21257059",4.213
707462.65543971001,5714145.5165188126,1399.058063000031800,1391,"4,205987788",4.206
707463.39966396021,5714144.8399467003,1400.063856000031800,1392,"4,205987788",4.206
707464.14388821053,5714144.163374586,1401.069649000031900,1393,"4,192822184",4.193
707464.88811246073,5714143.4868024737,1402.075442000031900,1394,"4,192822184",4.193
707465.63233671105,5714142.8102303604,1403.081235000031900,1395,"4,192822184",4.193
707466.37656096125,5714142.133658248,1404.087028000032000,1396,"4,192822184",4.193
707467.12078521145,5714141.4570861347,1405.092821000032000,1397,"4,179656579",4.180
707467.86500946165,5714140.7805140214,1406.098614000032100,1398,"4,179656579",4.180
707468.60923371196,5714140.1039419081,1407.104407000032100,1399,"4,173073777",4.173
707469.35345796216,5714139.4273697948,1408.110200000032100,1400,"4,159908173",4.160
707470.09768221248,5714138.7507976815,1409.115993000032200,1401,"4,159908173",4.160
707470.84190646268,5714138.0742255691,1410.121786000032200,1402,"4,159908173",4.160
707471.58613071288,5714137.3976534558,1411.127579000032300,1403,"4,153325371",4.153
707472.30792535818,5714136.6987769771,1412.133372000032300,1404,"4,153325371",4.153
707472.98031976097,5714135.9507760908,1413.139165000032300,1405,"4,140159767",4.140
707473.65271416353,5714135.2027752046,1414.144958000032400,1406,"4,140159767",4.140
707474.32510856632,5714134.4547743183,1415.150751000032400,1407,"4,133576965",4.134
707474.99750296911,5714133.706773432,1416.156544000032500,1408,"4,126994162",4.127
707475.66989737179,5714132.9587725457,1417.162337000032500,1409,"4,126994162",4.127
707476.34229177446,5714132.2107716594,1418.168130000032500,1410,"4,12041136",4.120
707477.01468617725,5714131.4627707731,1419.173923000032600,1411,"4,12041136",4.120
707477.68708057993,5714130.7147698859,1420.179716000032600,1412,"4,12041136",4.120
707478.3594749826,5714129.966769,1421.185509000032700,1413,"4,113828558",4.114
707478.96181331365,5714129.1702085407,1422.191302000032700,1414,"4,100662954",4.101
707479.426278717,5714128.2780810567,1423.197095000032700,1415,"4,100662954",4.101
707479.89074412035,5714127.3859535735,1424.202888000032800,1416,"4,08749735",4.087
707480.35520952358,5714126.4938260885,1425.208681000032800,1417,"4,08749735",4.087
707480.81967492693,5714125.6016986044,1426.214474000032900,1418,"4,080914548",4.081
